System #,North top camera,North top card,North bottom camera,North bottom card,East top camera,East top card,East bottom camera,East bottom card,South top camera,South top card,South bottom camera,South bottom card,West top camera,West top card,West bottom camera,West bottom card,Downwards camera,Downwards card,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
,019,223,020,229,021,240,022,230,023,248,024,247,025,201,026,237,014,209,1,9f1e3ff9-8b64-473d-94a7-cb71eb6105b4,5/3/2023 12:57:23 AM,Claude.Spencer_UWA,5/3/2023 12:57:23 AM,Claude.Spencer_UWA,115.470705557492,-31.8383148900103
,019,202,020,113,021,112,022,249,023,241,024,239,025,216,026,215,014,226,2,eae545a1-0462-4c2a-b6a8-3e44e62655c5,5/5/2023 10:49:52 PM,Claude.Spencer_UWA,5/5/2023 10:49:52 PM,Claude.Spencer_UWA,115.573588333171,-31.5074083336693
,019,218,020,228,021,223,022,221,023,220,024,210,025,244,026,208,014,245,3,ab215027-96b7-4a45-bbfe-e3493fb47964,5/6/2023 11:00:47 PM,Claude.Spencer_UWA,5/6/2023 11:00:47 PM,Claude.Spencer_UWA,115.556621666448,-31.5021716670413
,019,0213,020,214,021,211,022,203,023,250,024,225,025,235,026,246,014,207,4,a6e032bc-f335-438f-befe-0b96c9db81a5,5/7/2023 10:44:33 PM,Claude.Spencer_UWA,5/7/2023 10:44:33 PM,Claude.Spencer_UWA,115.552203333266,-31.5101400003186
,019,229,020,241,021,226,022,202,023,223,024,201,025,237,026,249,014,112,5,486b4a34-1764-4a95-b896-d394fbca8332,5/8/2023 10:21:23 PM,Claude.Spencer_UWA,5/8/2023 10:21:23 PM,Claude.Spencer_UWA,115.257995914003,-31.8102968055947
