System #,North top camera,North top card,North bottom camera,North bottom card,East top camera,East top card,East bottom camera,East bottom card,South top camera,South top card,South bottom camera,South bottom card,West top camera,West top card,West bottom camera,West bottom card,Downwards camera,Downwards card,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
Sharktip - 4345,019,249,020,203,021,208,022,215,023,221,024,228,025,113,026,229,014,205,1,a7710eb0-622f-4e1f-bcf3-42b5e5e940f7,5/31/2023 1:26:26 AM,Claude.Spencer_UWA,6/1/2023 8:13:50 AM,Claude.Spencer_UWA,115.017063764485,-33.3072264047335
SHARK - sound traps 1872 + 4345. Took spare of baby boss not air boss,19,149,20,144,21,120,22,173,23,130,24,160,25,163,26,124,14,147,2,b3842e66-e801-46fc-bbc6-7e48238f9633,6/2/2023 8:42:45 AM,Claude.Spencer_UWA,6/3/2023 8:43:03 AM,Claude.Spencer_UWA,114.972683333307,-33.2800450002805
