System #,North top camera,North top card,North bottom camera,North bottom card,East top camera,East top card,East bottom camera,East bottom card,South top camera,South top card,South bottom camera,South bottom card,West top camera,West top card,West bottom camera,West bottom card,Downwards camera,Downwards card,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
BIG BOSS - 5273,035,244,036,211,037,223,038,239,039,218,040,235,041,230,042,220,,,1,14e25192-01c3-436b-9eba-b78c4cb6c8ae,5/31/2023 1:28:13 AM,Claude.Spencer_UWA,6/1/2023 8:12:19 AM,Claude.Spencer_UWA,114.952405082985,-33.2398536237679
BabyBOSS - 1872,001,226,002,207,003,240,004,237,005,247,006,219,009,245,008,225,,,2,a8523201-cfd5-4b08-9804-3d47b139c713,5/31/2023 1:30:11 AM,Claude.Spencer_UWA,6/1/2023 8:13:08 AM,Claude.Spencer_UWA,115.240689611339,-33.3774003322492
Air BOSS - UWA,1201,202,1202,241,1205,214,1206,231,1207,216,1208,213,1209,248,1233,201,,,3,d72884bd-408a-4f88-aba9-6e664c794bd9,5/31/2023 1:32:04 AM,Claude.Spencer_UWA,6/1/2023 8:12:46 AM,Claude.Spencer_UWA,115.215376629939,-33.3827618296932
