Dot Point Measurements

Generated: Tuesday 16 May 2023 08:50:27

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	CATAMI_L2_L3	CATAMI_L4	CATAMI_L5	Relief					Radius %
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		826	1074													CP4	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						42.8
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		704	1044													CP4	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						39.2
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		792	705													CP4	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						4.7
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		863	1599													CP4	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						100.0
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		604	1018													CP4	1					Unscorable								39.4
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		657	1066													CP4	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						42.5
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		604	163													CP4	1					Unscorable								59.3
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		899	138													CP4	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						61.9
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		933	216													CP4	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						54.9
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		673	1000													CP4	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						35.1
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		1007	240													CP4	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						56.1
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		819	703													CP4	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						7.5
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		636	132													CP4	1					Unscorable								61.8
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		723	1441													CP4	1					Unscorable								82.1
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		570	40													CP4	1					Unscorable								73.2
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		752	82													CP4	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						65.9
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		578	196													CP4	1					Unscorable								56.8
CP4_1_01_Left_MAH00262.MP4_0075640.jpg	      0		563	455													CP4	1					Unscorable								32.7
