Sample,Date,Time,Time.out,Depth,Location,Site,Status,Latitude,Longitude,Exclude,Deployment.notes,Waypoint,Left.mem.card,Right.mem.card,Left.cam,Right.cam,Field.notes,Raw.hdd.number,Con.hdd.number,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Length.analyst,Length.complete.date.yyyymmdd,Successful.length,Habitat.image.forward,Analysis.notes
SAL-DC-024,2/12/2022,1656,1702,72,Salisbury MBH,,,123.6058405,-34.10815252,,,94,,,,,,,,,,,,,,,,
SAL-DC-019,2/12/2022,1715,,73,Salisbury MBH,,,123.5852419,-34.08790621,,,95,,,,,,,,,,,,,,,,
SAL-DC-088,2/12/2022,1732,,75,Salisbury MBH,,,123.5745483,-34.09791996,,,96,,,,,,,,,,,,,,,,
SAL-DC-060,2/12/2022,1755,1802,77,Salisbury MBH,,,123.5432583,-34.11994877,,,97,,,,,,,,,,,,,,,,
SAL-DC-037,2/12/2022,1810,1818,78,Salisbury MBH,,,123.5312228,-34.11105107,,"last drop day 3, top left stopped working",98,,,,,,,,,,,,,,,,
SAL-DC-065,3/12/2022,522,,74,Salisbury MBH,,,123.4993991,-34.10614691,,first drop day 4,99,,,,,,,,,,,,,,,,
SAL-DC-099,3/12/2022,539,,73,Salisbury MBH,,,123.4820287,-34.08611899,,,100,,,,,,,,,,,,,,,,
SAL-DC-072,3/12/2022,601,,73.5,Salisbury MBH,,,123.513053,-34.06677325,,,101,,,,,,,,,,,,,,,,
SAL-DC-115,3/12/2022,612,620,67,Salisbury MBH,,,123.5130451,-34.0658677,,,102,,,,,,,,,,,,,,,,
SAL-DC-116,3/12/2022,628,635,67,Salisbury MBH,,,123.498351,-34.060939,,LOTS OF LITTLE PATCHES OF HARD BOTTOM,103,,,,,,,,,,,,,,,,
SAL-DC-029,3/12/2022,646,653,61,Salisbury MBH,,,123.4697584,-34.04762559,,,104,,,,,,,,,,,,,,,,
SAL-DC-061,3/12/2022,704,712,63,Salisbury MBH,,,123.4943596,-34.02783331,,,105,,,,,,,,,,,,,,,,
SAL-DC-117,3/12/2022,715,721,39,Salisbury MBH,,,123.5030731,-34.0269754,,117 TO 53 IS PRETTY MUCH ALL REEF,106,,,,,,,,,,,,,,,,
SAL-DC-053,3/12/2022,744,,62.5,Salisbury MBH,,,123.5769403,-34.04163523,,LOTS OF GROUND,107,,,,,,,,,,,,,,,,
SAL-DC-093,3/12/2022,759,805,64,Salisbury MBH,,,123.5988611,-34.04852312,,,108,,,,,,,,,,,,,,,,
SAL-DC-021,3/12/2022,812,819,61,Salisbury MBH,,,123.6036637,-34.03272783,,,109,,,,,,,,,,,,,,,,
SAL-DC-086,3/12/2022,822,830,60,Salisbury MBH,,,123.5980483,-34.02427639,,RESYNC AFTER THIS ONE,110,,,,,,,,,,,,,,,,
SAL-DC-034,3/12/2022,847,,43,Salisbury MBH,,,123.5478089,-34.01004227,,,111,,,,,,,,,,,,,,,,
SAL-DC-070,3/12/2022,904,911,36,Salisbury MBH,,,123.5333836,-33.99290194,,10M ROCK MARKED ON MAPS WAS WRONG,112,,,,,,,,,,,,,,,,
SAL-DC-095,3/12/2022,937,,51,Salisbury MBH,,,123.4826309,-33.98399057,,,113,,,,,,,,,,,,,,,,
SAL-DC-016,3/12/2022,1014,,47,Salisbury MBH,,,123.5889487,-33.98599958,,,114,,,,,,,,,,,,,,,,
SAL-DC-118,3/12/2022,1026,,43,Salisbury MBH,,,123.6068165,-33.981951,,,115,,,,,,,,,,,,,,,,
SAL-DC-090,3/12/2022,1039,,52,Salisbury MBH,,,123.6255378,-33.97508823,,,116,,,,,,,,,,,,,,,,
SAL-DC-055,3/12/2022,1055,1102,55,Salisbury MBH,,,123.6399767,-33.99221142,,,117,,,,,,,,,,,,,,,,
SAL-DC-074,3/12/2022,1113,1120,60.5,Salisbury MBH,,,123.6501533,-34.01980299,,last drop day 4,118,,,,,,,,,,,,,,,,
