"campaignid","sample"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKS_82_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKS_84_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKS_86_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKS_87_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_01_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_02_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_03_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_04_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_05_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_06_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_07_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_08_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_09_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_10_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_11_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_12_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_13_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_14_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_15_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_17_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_18_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_19_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_20_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_21_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_22_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_23_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_28_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKW_30_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MU_I01"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MU_I03"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MU_I04"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MU_I06"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MU_I07"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MU_I08"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MU_I09"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MU_I12"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MU_I13"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MMU_I13"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MU_I14"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MU_I16"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MU_I17"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MU_I19"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MU_I20"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MU_I21"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MU_I22"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MU_I23"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MU_I24"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WE_I01"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WE_I02"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WE_I03"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WE_I04"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WE_I05"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WE_I06"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WE_I07"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WE_I08"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WE_I09"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WE_I10"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WE_I11"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WE_I13"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WE_I14"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WE_I15"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WE_I18"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WE_I19"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WE_I20"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WE_I21"
