Dot Point Measurements																															
																															
Generated: Thursday 17 November 2022 14:27:08																															
																															
Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	Frame info 1	Frame info 2	Frame info 3	Frame info 4	Frame info 5	Frame info 6	BROAD	MORPHOLOGY	TYPE	RELIEF	CODE				Radius %
SKC_80_2205.jpg	0		561	36																			Open Water								83.9
SKC_80_2205.jpg	0		1045	385																			Open Water								52.8
SKC_80_2205.jpg	0		732	1489																			Open Water								83
SKC_80_2205.jpg	0		788	31																			Open Water								81.6
SKC_80_2205.jpg	0		548	923																			Open Water								30.2
SKC_80_2205.jpg	0		1067	196																			Open Water								72.1
SKC_80_2205.jpg	0		619	1437																			Open Water								78.5
SKC_80_2205.jpg	0		758	983																			Open Water								25.8
SKC_80_2205.jpg	0		717	446																			Open Water								35
SKC_80_2205.jpg	0		873	947																			Open Water								25.5
SKC_80_2205.jpg	0		764	1641																			Open Water								100
SKC_80_2205.jpg	0		796	73																			Open Water								77
SKC_80_2205.jpg	0		731	216																			Open Water								60.7
SKC_80_2205.jpg	0		675	1142																			Open Water								44.7
SKC_80_2205.jpg	0		917	1416																			Open Water								76.8
SKC_80_2205.jpg	0		905	1193																			Open Water								52.3
SKC_80_2205.jpg	0		640	1461																			Open Water								80.8
SKC_80_2205.jpg	0		585	124																			Open Water								73.6
SKC_80_2205.jpg	0		548	488																			Open Water								38
SKC_81_2205.jpg	0		858	941																			Unconsolidated	Sand	mud (fine sand)		82001015				18.2
SKC_81_2205.jpg	0		701	1415																			Unconsolidated	Sand	mud (fine sand)		82001015				25.8
SKC_81_2205.jpg	0		575	28																			Open Water								100
SKC_81_2205.jpg	0		707	1245																			Unknown								14
SKC_81_2205.jpg	0		872	1204																			Unconsolidated	Sand	mud (fine sand)		82001015				5.6
SKC_81_2205.jpg	0		1000	1424																			Unconsolidated	Sand	mud (fine sand)		82001015				27.7
SKC_81_2205.jpg	0		785	322																			Unconsolidated	Sand	mud (fine sand)		82001015				72
SKC_81_2205.jpg	0		868	1657																			Unknown								44.1
SKC_81_2205.jpg	0		1002	951																			Unconsolidated	Sand	mud (fine sand)		82001015				22.4
SKC_81_2205.jpg	0		863	1905																			Unconsolidated	Sand	mud (fine sand)		82001015				65.6
SKC_81_2205.jpg	0		554	233																			Open Water								83.3
SKC_81_2205.jpg	0		917	1832																			Unknown								59.7
SKC_81_2205.jpg	0		881	1648																			Unknown								43.4
SKC_81_2205.jpg	0		748	1368																			Unknown								20.5
SKC_81_2205.jpg	0		995	1414																			Unconsolidated	Sand	mud (fine sand)		82001015				26.8
SKC_81_2205.jpg	0		805	1244																			Unconsolidated	Sand	mud (fine sand)		82001015				8.7
SKC_81_2205.jpg	0		857	1439																			Unconsolidated	Sand	mud (fine sand)		82001015				25.2
SKC_81_2205.jpg	0		729	1410																			Unconsolidated	Sand	mud (fine sand)		82001015				24.5
SKC_81_2205.jpg	0		956	1289																			Unconsolidated	Sand	mud (fine sand)		82001015				15.9
SKC_81_2205.jpg	0		1067	24																			Unconsolidated	Sand	mud (fine sand)		82001015				99.7
SKC_83_2205.jpg	0		791	1041																			Macroalgae	Large canopy-forming	Brown		80300902				10.8
SKC_83_2205.jpg	0		915	481																			Macroalgae	Large canopy-forming	Brown		80300902				51.6
SKC_83_2205.jpg	0		795	19																			Macroalgae	Large canopy-forming	Brown		80300902				100
SKC_83_2205.jpg	0		1004	491																			Macroalgae	Large canopy-forming	Brown		80300902				53.8
SKC_83_2205.jpg	0		794	311																			Consolidated	Rock	No biota		82001002				68.3
SKC_83_2205.jpg	0		598	1269																			Macroalgae	Large canopy-forming	Brown		80300902				41.4
SKC_83_2205.jpg	0		611	68																			Macroalgae	Large canopy-forming	Brown		80300902				96.7
SKC_83_2205.jpg	0		941	1276																			Macroalgae	Large canopy-forming	Brown		80300902				39.7
SKC_83_2205.jpg	0		699	800																			Macroalgae	Large canopy-forming	Brown		80300902				18.5
SKC_83_2205.jpg	0		946	1119																			Macroalgae	Filamentous and filiform			80300930				25.4
SKC_83_2205.jpg	0		952	259																			Macroalgae	Large canopy-forming	Brown		80300902				75.9
SKC_83_2205.jpg	0		923	883																			Macroalgae	Large canopy-forming	Brown		80300902				15.3
SKC_83_2205.jpg	0		546	1809																			Open Water								97.9
SKC_83_2205.jpg	0		641	1549																			Open Water								68
SKC_83_2205.jpg	0		654	1727																			Open Water								86.7
SKC_83_2205.jpg	0		1008	702																			Macroalgae	Large canopy-forming	Brown		80300902				34.8
SKC_83_2205.jpg	0		899	444																			Macroalgae	Large canopy-forming	Brown		80300902				55.1
SKC_83_2205.jpg	0		822	1569																			Macroalgae	Large canopy-forming	Brown		80300902				68.2
SKC_83_2205.jpg	0		717	1395																			Open Water								50
SKC_83_2205.jpg	0		621	1604																			Open Water								74.3
SKC_85_2205.jpg	0		1030	1627																			Unconsolidated	Sand	mud (fine sand)		82001015				51.6
SKC_85_2205.jpg	0		788	878																			Open Water								20.2
SKC_85_2205.jpg	0		720	864																			Unknown								23.8
SKC_85_2205.jpg	0		893	81																			Unconsolidated	Sand	mud (fine sand)		82001015				92.3
SKC_85_2205.jpg	0		979	1179																			Unconsolidated	Sand	mud (fine sand)		82001015				14.5
SKC_85_2205.jpg	0		551	1804																			Open Water								70.4
SKC_85_2205.jpg	0		872	1848																			Unknown								69.1
SKC_85_2205.jpg	0		744	1077																			Open Water								9.5
SKC_85_2205.jpg	0		818	699																			Unconsolidated	Sand	mud (fine sand)		82001015				35.9
SKC_85_2205.jpg	0		547	1786																			Open Water								69
SKC_85_2205.jpg	0		1047	807																			Unconsolidated	Sand	mud (fine sand)		82001015				31.8
SKC_85_2205.jpg	0		1033	933																			Unconsolidated	Sand	mud (fine sand)		82001015				22.3
SKC_85_2205.jpg	0		1070	1329																			Unconsolidated	Sand	mud (fine sand)		82001015				29.8
SKC_85_2205.jpg	0		604	346																			Open Water								71.5
SKC_85_2205.jpg	0		570	31																			Open Water								100
SKC_85_2205.jpg	0		1014	1167																			Unconsolidated	Sand	mud (fine sand)		82001015				16.8
SKC_85_2205.jpg	0		795	1576																			Unknown								44.5
SKC_85_2205.jpg	0		841	562																			Unconsolidated	Sand	mud (fine sand)		82001015				48.3
SKC_85_2205.jpg	0		1007	1769																			Unconsolidated	Sand	mud (fine sand)		82001015				63.6
SKC_85_2205.jpg	0		1013	1463																			Unconsolidated	Sand	mud (fine sand)		82001015				37.2
SKC_88_2205.jpg	0		805	1117																			Macroalgae	Erect course branching	Brown		80300904				14.1
SKC_88_2205.jpg	0		771	1214																			Macroalgae	Erect course branching	Brown		80300904				26.1
SKC_88_2205.jpg	0		741	671																			Macroalgae	Erect fine branching	Red		90300910				43.6
SKC_88_2205.jpg	0		626	543																			Macroalgae	Erect course branching	Red		80300906				62.7
SKC_88_2205.jpg	0		824	1013																			Macroalgae	Erect course branching	Brown		80300904				6
SKC_88_2205.jpg	0		874	646																			Macroalgae	Filamentous and filiform			80300930				48.2
SKC_88_2205.jpg	0		568	1337																			Macroalgae	Erect course branching	Brown		80300904				49.6
SKC_88_2205.jpg	0		991	1105																			Macroalgae	Erect course branching	Brown		80300904				30
SKC_88_2205.jpg	0		697	346																			Macroalgae	Large canopy-forming	Brown		80300902				85.4
SKC_88_2205.jpg	0		760	869																			Unconsolidated	Sand	mud (coarse sand)		82001014				18.2
SKC_88_2205.jpg	0		543	1683																			Macroalgae	Large canopy-forming	Brown		80300902				91.1
SKC_88_2205.jpg	0		984	1614																			Macroalgae	Erect course branching	Brown		80300904				81.7
SKC_88_2205.jpg	0		884	732																			Macroalgae	Large canopy-forming	Brown		80300902				38.1
SKC_88_2205.jpg	0		877	426																			Macroalgae	Large canopy-forming	Brown		80300902				75.7
SKC_88_2205.jpg	0		899	1403																			Macroalgae	Erect course branching	Brown		80300904				52.6
SKC_88_2205.jpg	0		695	1717																			Unconsolidated	Sand	mud (coarse sand)		82001014				91
SKC_88_2205.jpg	0		604	1518																			Macroalgae	Large canopy-forming	Brown		80300902				68.6
SKC_88_2205.jpg	0		806	886																			Macroalgae	Erect fine branching	Red		90300910				16.3
SKC_88_2205.jpg	0		633	1109																			Unknown								22.4
SKC_88_2205.jpg	0		959	249																			Macroalgae	Large canopy-forming	Brown		80300902				100
SKC_90_2205.jpg	0		597	960																			Open Water								17.8
SKC_90_2205.jpg	0		568	181																			Open Water								88.7
SKC_90_2205.jpg	0		694	1713																			Open Water								87
SKC_90_2205.jpg	0		559	1127																			Open Water								30.1
SKC_90_2205.jpg	0		866	1456																			Invertebrate Complex								59.1
SKC_90_2205.jpg	0		660	1499																			Open Water								63.4
SKC_90_2205.jpg	0		565	220																			Open Water								84.6
SKC_90_2205.jpg	0		696	359																			Invertebrate Complex								66.5
SKC_90_2205.jpg	0		903	1635																			Sponges	Erect forms			10000912				79.7
SKC_90_2205.jpg	0		821	1358																			Invertebrate Complex								47.2
SKC_90_2205.jpg	0		1049	1060																			Unconsolidated	Sand	mud (coarse sand)		82001014				35.8
SKC_90_2205.jpg	0		723	65																			Invertebrate Complex								99.4
SKC_90_2205.jpg	0		769	158																			Invertebrate Complex								88.8
SKC_90_2205.jpg	0		734	885																			Invertebrate Complex								7.1
SKC_90_2205.jpg	0		988	888																			Macroalgae	Filamentous and filiform			80300930				27.3
SKC_90_2205.jpg	0		613	1704																			Open Water								87.1
SKC_90_2205.jpg	0		918	1678																			Sponges	Erect forms			10000912				84.8
SKC_90_2205.jpg	0		1065	116																			Macroalgae	Filamentous and filiform			80300930				100
SKC_90_2205.jpg	0		717	392																			Macroalgae	Filamentous and filiform			80300930				62.6
SKC_90_2205.jpg	0		563	1446																			Open Water								60.5
SKC_94_2205.jpg	0		745	75																			Macroalgae	Large canopy-forming	Brown		80300902				71.9
SKC_94_2205.jpg	0		558	181																			Macroalgae	Large canopy-forming	Brown		80300902				66.9
SKC_94_2205.jpg	0		1049	1045																			Macroalgae	Erect fine branching	Red		90300910				26.9
SKC_94_2205.jpg	0		931	1090																			Macroalgae	Erect course branching	Brown		80300904				24.4
SKC_94_2205.jpg	0		675	195																			Macroalgae	Large canopy-forming	Brown		80300902				62.2
SKC_94_2205.jpg	0		948	1913																			Unknown								100
SKC_94_2205.jpg	0		988	182																			Macroalgae	Large canopy-forming	Brown		80300902				62.9
SKC_94_2205.jpg	0		898	91																			Macroalgae	Large canopy-forming	Brown		80300902				70.1
SKC_94_2205.jpg	0		843	1568																			Open Water								67.4
SKC_94_2205.jpg	0		985	859																			Macroalgae	Erect fine branching	Red		90300910				13.5
SKC_94_2205.jpg	0		590	1615																			Open Water								75.5
SKC_94_2205.jpg	0		677	1214																			Unknown								37.8
SKC_94_2205.jpg	0		652	1495																			Open Water								63.1
SKC_94_2205.jpg	0		944	1664																			Macroalgae	Erect course branching	Brown		80300904				77
SKC_94_2205.jpg	0		945	1626																			Macroalgae	Erect course branching	Brown		80300904				73.4
SKC_94_2205.jpg	0		847	1133																			Macroalgae	Erect course branching	Brown		80300904				27
SKC_94_2205.jpg	0		788	283																			Macroalgae	Large canopy-forming	Brown		80300902				52.3
SKC_94_2205.jpg	0		1057	179																			Macroalgae	Large canopy-forming	Brown		80300902				64.8
SKC_94_2205.jpg	0		756	60																			Macroalgae	Large canopy-forming	Brown		80300902				73.2
SKC_94_2205.jpg	0		952	385																			Macroalgae	Large canopy-forming	Brown		80300902				43.8
SKC_95_2205.jpg	0		582	1703																			Invertebrate Complex								54.5
SKC_95_2205.jpg	0		895	1809																			Unknown								62.3
SKC_95_2205.jpg	0		693	333																			Consolidated	Unknown			82001000				77.8
SKC_95_2205.jpg	0		935	1090																			Consolidated	Unknown			82001000				16.2
SKC_95_2205.jpg	0		570	1896																			Consolidated	Unknown			82001000				72.1
SKC_95_2205.jpg	0		1046	1086																			Consolidated	Unknown			82001000				26.2
SKC_95_2205.jpg	0		843	818																			Consolidated	Unknown			82001000				32.5
SKC_95_2205.jpg	0		731	1089																			Invertebrate Complex								7.6
SKC_95_2205.jpg	0		657	1713																			Consolidated	Unknown			82001000				53.4
SKC_95_2205.jpg	0		804	1861																			Consolidated	Unknown			82001000				66.2
SKC_95_2205.jpg	0		602	341																			Consolidated	Unknown			82001000				78.4
SKC_95_2205.jpg	0		539	1142																			Octocoral/Black	Fan (2D)			11168912				22.3
SKC_95_2205.jpg	0		737	1033																			Invertebrate Complex								12.2
SKC_95_2205.jpg	0		847	1742																			Unknown								55.3
SKC_95_2205.jpg	0		929	104																			Consolidated	Unknown			82001000				100
SKC_95_2205.jpg	0		1048	480																			Consolidated	Unknown			82001000				68.6
SKC_95_2205.jpg	0		853	1552																			Invertebrate Complex								37.8
SKC_95_2205.jpg	0		635	1784																			Consolidated	Unknown			82001000				60.4
SKC_95_2205.jpg	0		1016	304																			Consolidated	Unknown			82001000				83.2
SKC_95_2205.jpg	0		557	1261																			Octocoral/Black	Fan (2D)			11168912				22.7
SKE_44_2205.jpg	0		1061	1204																			Macroalgae	Unknown			80300000				41
SKE_44_2205.jpg	0		964	255																			Invertebrate Complex								58.6
SKE_44_2205.jpg	0		999	1371																			Open Water								52.7
SKE_44_2205.jpg	0		643	544																			Open Water								33.7
SKE_44_2205.jpg	0		566	292																			Open Water								58.6
SKE_44_2205.jpg	0		978	19																			Unconsolidated	Sand	mud (coarse sand)		82001014				81
SKE_44_2205.jpg	0		724	1609																			Open Water								73.1
SKE_44_2205.jpg	0		932	1615																			Open Water								73.9
SKE_44_2205.jpg	0		929	211																			Invertebrate Complex								62.1
SKE_44_2205.jpg	0		864	867																			Open Water								4.7
SKE_44_2205.jpg	0		980	823																			Macroalgae	Unknown			80300000				15.7
SKE_44_2205.jpg	0		620	704																			Open Water								23.5
SKE_44_2205.jpg	0		1063	501																			Macroalgae	Unknown			80300000				40.8
SKE_44_2205.jpg	0		598	1645																			Open Water								78.8
SKE_44_2205.jpg	0		805	356																			Open Water								47.3
SKE_44_2205.jpg	0		868	702																			Open Water								15
SKE_44_2205.jpg	0		569	1866																			Open Water								100
SKE_44_2205.jpg	0		632	709																			Open Water								22.3
SKE_44_2205.jpg	0		986	1452																			Open Water								59.7
SKE_44_2205.jpg	0		574	266																			Open Water								60.6
SKE_46_2205.jpg	0		858	515																			Unconsolidated	Sand	mud (coarse sand)		82001014				46.7
SKE_46_2205.jpg	0		715	136																			Unconsolidated	Sand	mud (coarse sand)		82001014				85.4
SKE_46_2205.jpg	0		584	1587																			Open Water								68.1
SKE_46_2205.jpg	0		862	1507																			Unknown								57.6
SKE_46_2205.jpg	0		539	1653																			Open Water								76.1
SKE_46_2205.jpg	0		695	369																			Macroalgae	Erect course branching	Brown		80300904				61.6
SKE_46_2205.jpg	0		637	22																			Macroalgae	Erect course branching	Brown		80300904				98
SKE_46_2205.jpg	0		1056	35																			Unconsolidated	Sand	mud (coarse sand)		82001014				100
SKE_46_2205.jpg	0		648	1396																			Macroalgae	Erect course branching	Brown		80300904				47.2
SKE_46_2205.jpg	0		722	389																			Unconsolidated	Sand	mud (coarse sand)		82001014				59.3
SKE_46_2205.jpg	0		808	1521																			Macroalgae	Erect course branching	Brown		80300904				58.4
SKE_46_2205.jpg	0		914	1193																			Macroalgae	Erect fine branching	Red		90300910				28.2
SKE_46_2205.jpg	0		848	217																			Unconsolidated	Sand	mud (coarse sand)		82001014				77.2
SKE_46_2205.jpg	0		995	1244																			Macroalgae	Encrusting	Red		80300929				37.4
