"campaignid","sample"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKCO95_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKCO75_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKCO76_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKCO77_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKCO80_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKCO81_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKCO85_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKCO90_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKCO88_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKCO94_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKCO83_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO20_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO22_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO28_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO30_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO23_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO06_2205"
"2022-11_Investigator_stereo-BRUVs","INV-BV-25"
"2022-11_Investigator_stereo-BRUVs","INV-BV-49"
"2022-11_Investigator_stereo-BRUVs","INV-BV-47"
"2022-11_Investigator_stereo-BRUVs","CP1"
"2022-11_Investigator_stereo-BRUVs","INV-BV-09"
"2022-11_Investigator_stereo-BRUVs","INV-BV-40"
"202204_FranklinAMP_BOSS","F_11"
"202204_FranklinAMP_BOSS","F_22"
"202204_FranklinAMP_BOSS","F_42"
"202204_FranklinAMP_BOSS","F_61"
"202204_FranklinAMP_BOSS","F_69"
"202204_FranklinAMP_BOSS","F_97"
"202204_FranklinAMP_BOSS","F_115"
"202204_FranklinAMP_BOSS","F_153"
"202204_FranklinAMP_BOSS","F_158"
"202204_FranklinAMP_BOSS","F_167"
"202204_FranklinAMP_BOSS","F_175"
"202204_FranklinAMP_BOSS","F_184"
"202204_FranklinAMP_BOSS","F_194"
"202204_FranklinAMP_BOSS","F_201"
"202204_FranklinAMP_BOSS","F_202"
"202204_FranklinAMP_BOSS","F_204"
"202204_FranklinAMP_BOSS","F_249"
"202204_FranklinAMP_BOSS","F_252"
"202204_FranklinAMP_BOSS","F_264"
"202204_FranklinAMP_BOSS","F_266"
"202204_FranklinAMP_BOSS","F_275"
"202204_FranklinAMP_BOSS","F_278"
"202204_FranklinAMP_BOSS","F_282"
"202204_FranklinAMP_BOSS","F_289"
"202204_FranklinAMP_BOSS","F_290"
"202204_FranklinAMP_BOSS","F_291"
"202205_ZEEHAN_AMP_BOSS","Z_37"
"202205_ZEEHAN_AMP_BOSS","Z_186"
"Salisbury_Investigator_MBH_BOSS_habitat","INV-DC-009"
