Dot Point Measurements

Generated: Wednesday 12 July 2023 09:13:24

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site	Habitat	Transect	Analyst	Rugosity	Depth	Collector	Fishing status	Spare	Spare	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	CATAMI_L2_L3	CATAMI_L4	CATAMI_L5	Relief					Radius %
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		942	1323													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						39.1
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		595	883													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						66.1
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		519	1296													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						53.1
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		824	1361													20221209-1	Br106					Bryozoa > Soft	Foliaceous							40.7
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		649	1102													20221209-1	Br106					Bryozoa > Soft	Foliaceous							55.9
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		759	344													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						86.4
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		713	1797													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						32.0
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		663	1353													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						46.1
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		886	1826													20221209-1	Br106					Bryozoa > Soft	Foliaceous							23.7
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		857	281													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						88.0
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		594	1245													20221209-1	Br106					Bryozoa > Soft	Foliaceous							52.2
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1617	3003													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						49.4
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1970	3648													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						84.7
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1696	2283													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						21.7
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		2089	3683													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						88.6
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1638	2056													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						15.1
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		2091	2606													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						46.5
