"campaignid","sample","longitude","latitude","location","planned.or.exploratory","broad.ascidians","broad.bryozoa","broad.macroalgae","broad.octocoral.black","broad.sponges","broad.unconsolidated","total.points.annotated","broad.consolidated","broad.hydroids","depth","broad.crinoids","broad.invertebrate.complex","broad.seagrasses","broad.stony.corals","broad.true.anemones","broad.seagrasses_amphibolis.sp.","broad.seagrasses_posidonia.sp.","broad.seagrasses_halophila.sp.","broad.seagrasses_rupia.sp.","broad.seagrasses_zostera.sp.","broad.echinodermata","broad.sea.stars","broad.zoanthids","broad.seagrasses_thalassodendron.sp."
"2021-06-ApolloMP_stereoBRUVs","APO_029","143.5356899","-38.92400328","Apollo CMR","MBH","15","1","3","0","1","0","20","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_030","143.548942","-38.92874003","Apollo CMR","MBH","0","8","0","2","0","0","10","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_031","143.5650766","-38.9428436","Apollo CMR","MBH","0","20","0","4","0","1","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_032","143.552435","-38.94103251","Apollo CMR","MBH","0","20","0","4","0","1","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_033","143.5558281","-38.94616391","Apollo CMR","MBH","0","20","0","4","0","1","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_034","143.5684953","-38.94422792","Apollo CMR","MBH","0","20","0","4","0","1","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_035","143.5512001","-38.95177587","Apollo CMR","MBH","0","20","0","4","0","1","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_036","143.5631108","-38.95040076","Apollo CMR","MBH","7","13","1","3","0","1","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_037","143.5644767","-38.94662769","Apollo CMR","MBH","15","0","3","0","1","0","19","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_038","143.5698711","-38.93762869","Apollo CMR","MBH","4","16","1","3","0","1","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_039","143.5582595","-38.95153435","Apollo CMR","MBH","0","20","0","4","0","1","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_040","143.5650812","-38.93777239","Apollo CMR","MBH","12","8","2","2","0","0","24","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
