campaignid,sample,broad.ascidians,broad.bryozoa,broad.consolidated,broad.crinoids,broad.hydroids,broad.invertebrate.complex,broad.macroalgae,broad.octocoral.black,broad.reef,broad.seagrasses,broad.sponges,broad.stony.corals,broad.total.points.annotated,broad.true.anemones,broad.unconsolidated,fov.facing.up,fov.limited,fov.open,mean.relief,method,sd.relief,planned.or.exploratory,latitude,longitude,date,time,location,site,depth,successful.count,successful.length,commonwealth.zone,state.zone,status
2020-06_south-west_stereo-BRUVs,25,0,0,6,0,0,0,12,0,22,0,4,0,23,0,1,0,2,38,2.454545455,BRUV,0.509647191,MBH,-34.116829,114.828432,20200603,8:54,South-west,c7,48.4,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,26,0,2,11,0,0,0,13,0,31,0,5,0,37,0,6,0,1,39,2.034482759,BRUV,0.625799981,MBH,-34.120881,114.828907,20200603,9:02,South-west,c7,48.4,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,27,0,0,15,0,0,0,5,0,23,0,3,0,39,0,16,0,0,36,2.068965517,BRUV,0.650880419,MBH,-34.121824,114.832898,20200603,10:19,South-west,c7,47.8,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,28,0,0,1,0,0,0,32,0,36,0,3,0,38,0,2,0,0,38,2.153846154,BRUV,0.367946484,MBH,-34.112916,114.852137,20200603,10:27,South-west,c6,44.7,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,29,0,0,2,0,0,0,18,0,21,0,1,0,26,0,5,0,2,38,2.458333333,BRUV,0.588229966,MBH,-34.111084,114.855648,20200603,10:31,South-west,c6,43,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,30,0,0,1,0,0,0,23,0,29,1,4,0,30,0,1,0,3,36,2.363636364,BRUV,0.492365964,MBH,-34.112094,114.85946,20200603,10:37,South-west,c6,42.9,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,31,0,0,13,0,0,0,5,0,18,0,0,0,36,0,18,0,1,39,1.777777778,BRUV,0.933699562,MBH,-34.116007,114.860738,20200603,10:42,South-west,c6,44.4,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,32,0,0,2,0,0,0,26,0,28,0,0,0,32,0,4,0,2,36,2.375,BRUV,0.824225592,MBH,-34.130076,114.86109,20200603,10:49,South-west,c5,43.2,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,33,0,0,9,0,0,0,9,0,19,1,0,0,34,0,15,0,3,36,1.68,BRUV,1.144552314,MBH,-34.133067,114.8627,20200603,10:54,South-west,c5,43.6,Yes,No,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,34,0,0,19,0,0,0,9,0,28,0,0,0,36,0,8,0,2,38,1.76,BRUV,0.663324958,MBH,-34.131334,114.866053,20200603,12:18,South-west,c5,42.7,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,35,0,1,6,0,0,0,15,0,25,0,3,0,29,0,4,0,4,36,2.444444444,BRUV,0.640512615,MBH,-34.134801,114.869348,20200603,12:23,South-west,c5,43.8,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,36,0,0,7,0,0,0,6,0,13,0,0,0,36,0,23,0,3,37,0.84,BRUV,0.850490055,MBH,-34.130484,114.878263,20200603,12:29,South-west,c4,42.2,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,37,0,0,2,0,0,0,17,0,22,1,2,0,30,0,8,0,2,37,2.130434783,BRUV,0.694415898,MBH,-34.126354,114.878937,20200603,12:34,South-west,c4,41.2,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,38,0,0,3,0,0,0,13,0,16,0,0,0,31,0,15,0,1,39,1.894736842,BRUV,0.936585812,MBH,-34.127912,114.883938,20200603,12:39,South-west,c4,41.8,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,39,0,0,5,0,0,0,16,0,23,2,0,0,32,0,9,0,3,37,2.12,BRUV,0.781024968,MBH,-34.132294,114.884797,20200603,12:42,South-west,c4,42.2,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,40,0,1,4,0,0,0,21,0,33,2,5,0,35,0,2,0,0,36,2.464285714,BRUV,0.5078745,MBH,-34.133669,114.880443,20200603,12:46,South-west,c4,41.2,Yes,Yes,National Park Zone,NA,No-take
2020-10_south-west_stereo-BRUVs,FH10,0,0,12,0,0,0,13,0,31,5,1,0,32,0,1,0,2,38,2.541666667,BRUV,0.508977378,MBH,-33.98618897,114.8863721,20201013,12:32:00,South-west,C.FH.24,42.9,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH102,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,2,38,0.185185185,BRUV,0.395847391,MBH,-33.68868897,114.9288721,20201017,6:42:00,South-west,C.FH.3,44.1,Yes,Yes,NA,Injidup Sanctuary Zone,No-take
2020-10_south-west_stereo-BRUVs,FH106,0,0,6,0,0,0,19,0,25,0,0,0,31,0,6,0,3,37,2.173913043,BRUV,0.576208131,MBH,-33.78868897,114.8163721,20201012,13:16:00,South-west,C.FH.12,47.1,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH108,1,0,2,0,0,0,15,0,18,0,0,0,32,0,14,0,3,37,1.695652174,BRUV,0.558795995,MBH,-33.76118897,114.9238721,20201017,9:32:00,South-west,C.FH.9,44.7,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH109,0,0,4,0,0,0,10,0,32,7,11,0,36,0,4,0,3,33,2.6,BRUV,0.598243042,MBH,-33.91618897,114.9088721,20201029,13:04:00,South-west,C.FH.20,45.9,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH11,0,1,2,0,0,0,1,0,10,0,6,0,28,0,18,0,3,37,1.52,BRUV,1.357694124,MBH,-33.89868897,114.9388721,20201029,14:48:00,South-west,C.FH.18,42.3,Yes,Yes,NA,NA,Fished
2020-10_south-west_stereo-BRUVs,FH110,0,0,5,0,0,0,3,0,14,1,5,0,26,0,12,0,2,38,2,BRUV,0.9258201,MBH,-33.80868897,114.8213721,20201012,15:06:00,South-west,C.FH.13,44.7,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH111,0,0,2,0,0,0,11,0,16,3,0,0,37,0,21,0,1,39,1.72,BRUV,0.842614977,MBH,-33.98618897,114.8788721,20201013,12:28:00,South-west,C.FH.24,41.4,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH113,0,0,8,0,0,0,9,0,32,12,3,0,33,0,1,0,1,39,2.666666667,BRUV,0.481543412,MBH,-33.72368897,114.7963721,20201012,12:41:00,South-west,C.FH.7,45,Yes,No,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH12,0,0,2,0,0,0,18,0,26,4,2,0,30,0,4,0,3,37,2.15,BRUV,0.366347549,MBH,-33.91868897,114.8963721,20201029,12:46:00,South-west,C.FH.21,46.1,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH14,0,0,7,0,0,0,15,0,23,0,1,0,34,0,11,0,3,37,1.888888889,BRUV,0.506369684,MBH,-33.76618897,114.8713721,20201017,11:24:00,South-west,C.FH.10,44.4,Yes,No,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH15,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,2,38,0,BRUV,0,MBH,-33.68868897,114.8063721,20201012,10:29:00,South-west,C.FH.4,48,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH16,0,0,5,0,0,0,12,0,26,8,1,0,34,0,8,0,4,36,2.46875,BRUV,0.567073699,MBH,-33.90118897,114.8563721,20201013,8:02:00,South-west,C.FH.19,43.1,Yes,check calibration,Special Purpose Zone (Mining Exclusion),NA,Fished
