campaignid,sample,longitude,latitude,date,status,location,depth,inclusion.probabilities,fov,relief,broad.openwater,broad.ascidians,broad.bryozoa,broad.consolidated,broad.hydroids,broad.octocoral.black,broad.sponges,broad.unconsolidated.sand,broad.unconsolidated.bivalves,broad.unconsolidated.screwshells,broad.unconsolidated.biogenic,broad.total.points.annotated,broad.total.points.annotated.minus.openwater,planned.or.exploratory
Beagle_AMP_Stereo_BRUV,102,147.51,-39.5225,22/10/2018,Fished,Beagle AMP,55,0.015878125,Open,2,5,,2,,3,,7,3,,,,20,15,MBH
Beagle_AMP_Stereo_BRUV,103,147.106,-39.3052,26/09/2018,IV,Beagle AMP,60,0.287056754,Open,3,,,1,,6,1,7,2,3,,,20,20,MBH
Beagle_AMP_Stereo_BRUV,104,147.503,-39.4873,22/10/2018,Fished,Beagle AMP,55,0.015910137,Open,3,10,,1,,2,1,5,1,,,,20,10,MBH
Beagle_AMP_Stereo_BRUV,105,147.174,-39.4483,24/09/2018,IV,Beagle AMP,61,0.286924136,Open,0,10,,,,2,,,,3,5,,20,10,MBH
Beagle_AMP_Stereo_BRUV,107,147.136,-39.3206,26/09/2018,IV,Beagle AMP,60,0.286706694,Open,2,10,,1,,1,,5,3,,,,20,10,MBH
Beagle_AMP_Stereo_BRUV,108,147.153,-39.3801,25/09/2018,IV,Beagle AMP,61,0.272699549,Open,1,10,,1,,2,,2,3,1,1,,20,10,MBH
Beagle_AMP_Stereo_BRUV,109,147.074,-39.0856,19/10/2018,Fished,Beagle AMP,56,0.01515253,Open,1,10,,,,,,,6,,4,,20,10,MBH
Beagle_AMP_Stereo_BRUV,110,147.132,-39.3389,25/09/2018,IV,Beagle AMP,61,0.287010127,Open,2,5,,3,,1,,5,4,,2,,20,15,MBH
Beagle_AMP_Stereo_BRUV,111,146.537,-39.1069,19/10/2018,IV,Beagle AMP,59,0.000424322,Open,1,10,,1,,,,2,1,,,6,20,10,MBH
Beagle_AMP_Stereo_BRUV,112,147.168,-39.4398,24/09/2018,IV,Beagle AMP,62,0.285942124,Open,0,10,,,,2,,1,3,1,3,,20,10,MBH
Beagle_AMP_Stereo_BRUV,113,147.489,-39.5404,22/10/2018,Fished,Beagle AMP,55,0.013869705,Open,2,3,2,3,,4,,6,1,1,,,20,17,MBH
Beagle_AMP_Stereo_BRUV,114,147.493,-39.4971,22/10/2018,Fished,Beagle AMP,55,0.015909404,Open,0,10,,1,,,,1,,1,1,6,20,10,MBH
Beagle_AMP_Stereo_BRUV,115,147.13,-39.3086,26/09/2018,IV,Beagle AMP,60,0.286885755,Open,3,6,,1,,2,,10,1,,,,20,14,MBH
Beagle_AMP_Stereo_BRUV,116,147.179,-39.4479,24/09/2018,IV,Beagle AMP,61,0.286991468,Open,0,3,,,1,,,2,3,5,6,,20,17,MBH
Beagle_AMP_Stereo_BRUV,117,147.154,-39.0952,21/10/2018,Fished,Beagle AMP,58,0.01515253,Open,1,5,,,,2,,3,4,,3,3,20,15,MBH
Beagle_AMP_Stereo_BRUV,120,147.083,-39.0795,21/10/2018,Fished,Beagle AMP,56,0.01515253,Open,0,10,,,,1,,1,5,,3,,20,10,MBH
Beagle_AMP_Stereo_BRUV,121,147.125,-39.3395,25/09/2018,IV,Beagle AMP,61,0.287019057,Open,2,5,,3,,,2,3,,,2,5,20,15,MBH
Beagle_AMP_Stereo_BRUV,122,147.528,-39.589,22/10/2018,Fished,Beagle AMP,48,0.015887383,Open,2,5,2,2,,2,,2,1,2,1,3,20,15,MBH
Beagle_AMP_Stereo_BRUV,123,147.076,-39.4096,24/09/2018,IV,Beagle AMP,64,0.239518415,Open,2,5,,2,,1,3,6,3,,,,20,15,MBH
Beagle_AMP_Stereo_BRUV,124,147.178,-39.4461,24/09/2018,IV,Beagle AMP,61,0.286960165,Open,0,5,,1,,1,,1,10,,2,,20,15,MBH
Beagle_AMP_Stereo_BRUV,125,146.98,-39.1022,19/10/2018,IV,Beagle AMP,55,0.000410847,Open,1,10,,,,1,,2,,,3,4,20,10,MBH
Beagle_AMP_Stereo_BRUV,127,147.155,-39.3729,25/09/2018,IV,Beagle AMP,61,0.281546087,Open,2,5,,,,5,1,8,1,,,,20,15,MBH
Beagle_AMP_Stereo_BRUV,128,147.112,-39.0718,21/10/2018,Fished,Beagle AMP,58,0.01515253,Open,0,5,,1,,2,,1,6,,5,,20,15,MBH
Beagle_AMP_Stereo_BRUV,129,147.267,-39.2652,2/10/2018,IV,Beagle AMP,59,0.000407233,Open,1,5,,,,1,,,2,3,,9,20,15,MBH
Beagle_AMP_Stereo_BRUV,130,147.083,-39.4091,24/09/2018,IV,Beagle AMP,61,0.20238171,Open,0,5,,1,,1,,1,10,,2,,20,15,MBH
Beagle_AMP_Stereo_BRUV,131,147.195,-39.2578,2/10/2018,IV,Beagle AMP,61,0,Open,2,10,,1,,1,,2,1,,1,4,20,10,MBH
Beagle_AMP_Stereo_BRUV,132,146.944,-39.5341,1/10/2018,IV,Beagle AMP,71,0,Open,1,10,1,1,,1,1,2,4,,,,20,10,MBH
Beagle_AMP_Stereo_BRUV,134,146.99,-39.4789,1/10/2018,IV,Beagle AMP,69,0,Open,1,10,,,,,,1,5,,4,,20,10,MBH
Beagle_AMP_Stereo_BRUV,135,146.743,-39.3129,2/10/2018,IV,Beagle AMP,69,0,Open,1,10,1,,,2,1,1,5,,,,20,10,MBH
Beagle_AMP_Stereo_BRUV,136,146.616,-39.5711,1/10/2018,IV,Beagle AMP,77,0,Open,1,10,,,,3,,1,4,,,2,20,10,MBH
Beagle_AMP_Stereo_BRUV,137,147.115,-39.406,24/09/2018,IV,Beagle AMP,63,0,Open,1,5,,1,,1,,,,8,5,,20,15,MBH
Beagle_AMP_Stereo_BRUV,138,146.868,-39.238,2/10/2018,IV,Beagle AMP,62,0,Open,1,10,,1,,1,,1,2,1,4,,20,10,MBH
Beagle_AMP_Stereo_BRUV,139,146.805,-39.4611,1/10/2018,IV,Beagle AMP,67,0,Open,1,10,,1,,1,,3,5,,,,20,10,MBH
Beagle_AMP_Stereo_BRUV,140,147.303,-39.2951,2/10/2018,IV,Beagle AMP,60,0,Open,2,5,,1,,1,,3,5,1,2,2,20,15,MBH
Beagle_AMP_Stereo_BRUV,141,146.681,-39.1272,2/10/2018,IV,Beagle AMP,58,0,Open,0,5,,,,4,,,9,2,,,20,15,MBH
Beagle_AMP_Stereo_BRUV,142,146.927,-39.3861,26/09/2018,IV,Beagle AMP,64,0,Open,0,10,,2,,2,,,5,,,1,20,10,MBH
Beagle_AMP_Stereo_BRUV,143,147.021,-39.3309,26/09/2018,IV,Beagle AMP,64,0,Open,1,10,,1,,1,,1,3,,1,3,20,10,MBH
Beagle_AMP_Stereo_BRUV,144,146.774,-39.165,2/10/2018,IV,Beagle AMP,61,0,Open,1,10,,,,1,,,2,,7,,20,10,MBH
Beagle_AMP_Stereo_BRUV,145,146.649,-39.2751,19/10/2018,IV,Beagle AMP,72,0,Open,1,10,,,,2,1,1,1,,,5,20,10,MBH
Beagle_AMP_Stereo_BRUV,147,146.836,-39.3617,26/09/2018,IV,Beagle AMP,66,0,Open,1,10,,,,1,,,4,,5,,20,10,MBH
Beagle_AMP_Stereo_BRUV,149,146.959,-39.1409,19/10/2018,IV,Beagle AMP,56,0,Open,1,5,,,,1,,1,1,1,1,10,20,15,MBH
Beagle_AMP_Stereo_BRUV,63,147.124,-39.0815,21/10/2018,Fished,Beagle AMP,59,0.015906925,Open,1,10,,1,,1,,1,2,,3,2,20,10,MBH
Beagle_AMP_Stereo_BRUV,69,147.106,-39.3034,26/09/2018,IV,Beagle AMP,59,0.285227837,Open,1,10,,1,,1,,,2,2,3,1,20,10,MBH
