campaignid,sample,planned.or.exploratory,latitude,longitude,date,site,location,successful.count,depth,fov.limited,fov.open,fov.total.points.annotated,broad.kelps,broad.ascidians,broad.bryozoa,broad.consolidated,broad.hydroids,broad.invertebrate.complex,broad.macroalgae,broad.octocoral.black,broad.sponges,broad.unconsolidated,broad.total.points.annotated,mean.relief,sd.relief
2021-05_Abrolhos_BOSS,npz6.28,MBH,-28.0937,113.429,20210513,npz6.28,NPZ6,Y,47.3,5,75,80,0,0,0,68,0,0,10,0,0,1,79,1.116666667,0.323731772
2021-05_Abrolhos_BOSS,npz6.43,MBH,-28.1064,113.4111,20210513,out6.6,NPZ6,Y,56.2,7,73,80,0,0,0,55,0,0,4,0,3,19,81,1.716216216,0.802739663
2021-05_Abrolhos_BOSS,npz6.8,MBH,-28.0888,113.4012,20210513,npz6.8,NPZ6,Y,73.6,5,75,80,0,0,0,0,0,49,1,0,3,27,80,1.633802817,1.058832735
2021-05_Abrolhos_BOSS,npz6.30,MBH,-28.0912,113.3989,20210513,npz6.30,NPZ6,Y,87.9,5,75,80,0,0,0,51,0,1,0,0,0,27,79,1,0
2021-05_Abrolhos_BOSS,npz6.2,MBH,-28.0862,113.3863,20210513,npz6.2,NPZ6,Y,92,5,75,80,0,0,1,0,2,19,0,7,44,4,77,2.887096774,1.132309966
2021-05_Abrolhos_BOSS,npz6.3,MBH,-28.0914,113.3864,20210513,npz6.3,NPZ6,Y,95.2,5,75,80,0,0,0,0,0,11,0,0,40,4,55,2.490196078,0.784156847
2021-05_Abrolhos_BOSS,npz6.32,MBH,-28.0963,113.3837,20210513,npz6.32,NPZ6,Y,116,5,75,80,0,0,0,0,0,0,0,0,0,80,80,0,0
2021-05_Abrolhos_BOSS,npz6.10,MBH,-28.0798,113.3498,20210513,npz6.10,NPZ6,Y,151,4,76,80,0,0,0,0,0,0,0,0,0,80,80,0,0
2021-05_Abrolhos_BOSS,npz6.35,MBH,-28.0417,113.2744,20210513,npz6.35,NPZ6,Y,184,0,80,80,0,0,0,0,0,0,0,0,0,80,80,0,0
2021-05_Abrolhos_BOSS,npz6.27,MBH,-28.0688,113.2892,20210513,npz6.27,NPZ6,Y,186,0,80,80,0,0,0,0,0,0,0,0,0,80,80,0,0
2021-05_Abrolhos_BOSS,npz6.4,MBH,-28.0769,113.2764,20210513,npz6.4,NPZ6,Y,189,0,80,80,0,0,0,0,0,0,0,0,0,80,80,0,0
2021-05_Abrolhos_BOSS,npz9.24,MBH,-27.1612,113.2072,20210514,npz9.24,NPZ9,Y,82.1,4,75,79,0,0,0,0,0,33,0,0,9,38,80,1.333333333,0.475016869
2021-05_Abrolhos_BOSS,npz9.48,MBH,-27.1527,113.2013,20210514,npz9.48,NPZ9,Y,84.5,5,75,80,0,0,0,1,0,44,0,1,26,1,73,2.031746032,0.474112208
