"x","y","old.sample","sample"
115.026463333173,-33.246025000285,"DC31","ST07"
115.026425000263,-33.2235733330086,"DC07","ST08"
115.013946667043,-33.2237183331366,"DC03","ST09"
115.005753333661,-33.2210383334264,"DCC01","ST10"
115.014343333428,-33.2428083335357,"DCC07","ST11"
115.053511666565,-33.2579933336117,"DCC11","ST12"
