Easting,Northing,inclusion_,ID,Site,Lat,Lon
"295056","6224408",0.89870777900,"5272867",SWC-NPZ-BOSS-55,-34.10110000000,114.77800000000
"303776","6227132",0.89870777900,"8930655",SWC-NPZ-BOSS-56,-34.07820000000,114.87300000000
"308600","6221032",0.89870777900,"745661",SWC-NPZ-BOSS-57,-34.13410000000,114.92400000000
"296524","6222128",0.08763000900,"2213474",SWC-NPZ-BOSS-58,-34.12190000000,114.79400000000
"293840","6228720",0.89870777900,"11059267",SWC-NPZ-BOSS-59,-34.06200000000,114.76600000000
"298872","6228476",0.08763000900,"10733077",SWC-NPZ-BOSS-60,-34.06520000000,114.82100000000
"295516","6221152",0.89870777900,"903430",SWC-NPZ-BOSS-61,-34.13050000000,114.78300000000
"308096","6221680",0.08763000900,"1615151",SWC-NPZ-BOSS-62,-34.12810000000,114.91900000000
"293336","6229372",0.08763000900,"11934125",SWC-NPZ-BOSS-63,-34.05600000000,114.76100000000
"300716","6225344",0.08763000900,"6530394",SWC-NPZ-BOSS-64,-34.09370000000,114.84000000000
"304740","6226808",0.89870777900,"8496088",SWC-NPZ-BOSS-65,-34.08130000000,114.88400000000
"297696","6226196",0.89870777900,"7673023",SWC-NPZ-BOSS-66,-34.08550000000,114.80700000000
"303736","6225832",0.89870777900,"7186045",SWC-NPZ-BOSS-67,-34.08990000000,114.87300000000
"302392","6230228",0.08763000900,"13085141",SWC-NPZ-BOSS-68,-34.05000000000,114.85900000000
"307340","6222712",0.89870777900,"2999906",SWC-NPZ-BOSS-69,-34.11870000000,114.91100000000
"308348","6221248",0.89870777900,"1035470",SWC-NPZ-BOSS-70,-34.13210000000,114.92200000000
"307004","6225640",0.08763000900,"6929198",SWC-NPZ-BOSS-71,-34.09230000000,114.90800000000
"292080","6227960",0.01366221200,"10038907",SWC-NPZ-BOSS-72,-34.06850000000,114.74700000000
"301472","6226864",0.08763000900,"8570423",SWC-NPZ-BOSS-73,-34.08020000000,114.84800000000
"294092","6229916",0.89870777900,"12664362",SWC-NPZ-BOSS-74,-34.05130000000,114.76900000000
"298452","6226416",0.08763000900,"7968452",SWC-NPZ-BOSS-75,-34.08360000000,114.81600000000
"307844","6222388",0.08763000900,"2565224",SWC-NPZ-BOSS-76,-34.12170000000,114.91600000000
"292476","6224704",0.08763000900,"5669454",SWC-NPZ-BOSS-77,-34.09790000000,114.75000000000
"300864","6222632",0.89870777900,"2890927",SWC-NPZ-BOSS-78,-34.11820000000,114.84100000000
"295496","6225928",0.08763000900,"7312817",SWC-NPZ-BOSS-79,-34.08750000000,114.78300000000
