Sample,Date,Time,Time.out,Depth,Location,Site,Status,Latitude,Longitude,Deployment.notes,Waypoint,Left.mem.card,Right.mem.card,Left.cam,Right.cam,Field.notes,Raw.hdd.number,Con.hdd.number,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Length.analyst,Length.complete.date.yyyymmdd,Successful.length,Habitat.image.forward,Analysis.notes
138,20/03/2021,11:22,12:29,-97.06,Tas Fracture (Ref),138,Fished,-43.71110597,146.2909547,,,,,1258,1259,,,,ashlee b,,,Y,,,Y,,
142,20/03/2021,11:29,12:42,-102.57,Tas Fracture,142,No-take,-43.71391847,146.2979582,check folder if 1261 pair,,,,1260,1261,,,,Shenae,,,Y,,,Y,,
143,20/03/2021,12:58,14:12,-116.97,Tas Fracture,143,No-take,-43.71823096,146.291392,,,,,1262,1263,,,,Shenae,,,Y,,,Y,,
144,20/03/2021,9:30,10:35,-118.56,Tas Fracture,144,No-take,-43.71566676,146.2991128,,,,,286,287,,,,ashlee b,,,Y,,,Y,,
145,20/03/2021,9:36,10:40,-114.51,Tas Fracture,145,No-take,-43.71278326,146.302137,,,,,406,407,,,,Shenae,,,Y,,,Y,,
146,20/03/2021,13:04,14:08,-121.22,Tas Fracture,146,No-take,-43.71879938,146.2894625,,,,,1258,1259,,,,Shenae,,,Y,,,Y,,
147,19/03/2021,17:55,18:10,-116.95,Tas Fracture,147,No-take,-43.71879939,146.29467,,,,,1260,1261,,,,Shenae,,,Y,,,Y,,
148,19/03/2021,17:50,18:15,-116.65,Tas Fracture,148,No-take,-43.72139516,146.2920758,,,,,1262,1263,,,,Shenae,,,Y,,,Y,,
149,20/03/2021,11:26,12:35,-96.73,Tas Fracture,149,No-take,-43.7144335,146.292585,check folder if 1261 pair,,,,1262,1263,,,,Shenae,,,Y,,,Y,,
150,20/03/2021,12:48,14:00,-114.87,Tas Fracture,150,No-take,-43.71674037,146.2902079,,,,,1260,1261,,,,Shenae,,,Y,,,Y,,
160,20/03/2021,15:10,16:25,-125.38,Tas Fracture,160,No-take,-43.72508054,146.2730433,,,,,286,287,,,,Shenae,,,Y,,,Y,,
161,20/03/2021,15:08,16:12,-124.18,Tas Fracture,161,No-take,-43.72683992,146.2759065,,,,,1258,1259,,,,Shenae,,,Y,,,Y,,
162,20/03/2021,14:51,15:56,-123.57,Tas Fracture,162,No-take,-43.7233088,146.2682575,,,,,282,283,,,,ashlee b,,,Y,,,Y,,
163,20/03/2021,13:10,14:25,-119.38,Tas Fracture,163,No-take,-43.72044787,146.2747016,bait bag empty,,,,286,287,,,,ashlee b,,,Y,,,Y,,
164,20/03/2021,14:57,16:02,-119.55,Tas Fracture,164,No-take,-43.72647312,146.2689401,,,,,1262,1263,,,,Shenae,,,Y,,,Y,,
165,20/03/2021,13:25,13:30,-111.94,Tas Fracture,165,No-take,-43.71607564,146.2767571,,,,,282,283,,,,Shenae,,,Y,,,N,,
166,20/03/2021,14:40,15:50,-111.74,Tas Fracture,166,No-take,-43.71952114,146.2709474,,,,,406,407,,,,ashlee b,,,Y,,,Y,,
167,20/03/2021,13:17,14:34,-101.46,Tas Fracture,167,No-take,-43.71837064,146.2725636,,,,,406,407,,,,ashlee b,,,Y,,,Y,,
168,20/03/2021,15:10,15:18,-126.14,Tas Fracture,168,No-take,-43.72535932,146.276325,,,,,1260,1261,,,,Shenae,,,Y,,,Y,,
172,21/03/2021,16:26,17:30,-126.556999,Tas Fracture,172,No-take,-43.72491628,146.2675168,287 dead,,,,286,287,,,,Shenae,,,N,,,N,,
170,21/03/2021,16:29,17:33,-117.372002,Tas Fracture,170,No-take,-43.72417011,146.2718525,282 dead on gunnel,,,,282,283,,,,Shenae,,,Y,,,N,,
175,21/03/2021,16:35,17:38,-115.619003,Tas Fracture,175,No-take,-43.72203295,146.2704362,,,,,1260,1261,,,,Shenae,,,Y,,,Y,,
171,21/03/2021,16:39,17:42,-115.258003,Tas Fracture,171,No-take,-43.72069716,146.2733366,,,,,1258,1259,,,,Shenae,,,Y,,,Y,,
176,21/03/2021,16:43,17:47,-109.757004,Tas Fracture,176,No-take,-43.71684641,146.2762672,,,,,1262,1263,,,,Shenae,,,Y,,,Y,,
173,21/03/2021,16:45,17:53,-103.335999,Tas Fracture,173,No-take,-43.71625996,146.2753129,,,,,406,407,,,,Shenae,,,Y,,,Y,,
178,20/03/2021,17:04,18:15,-87.58,Tas Fracture (Ref),178,Fished,-43.71140016,146.226493,,,,,282,283,,,,ashlee b,,,Y,,,N,,
179,21/03/2021,8:28,9:49,-83.23,Tas Fracture (Ref),179,Fished,-43.70414269,146.2366962,lost bait bag?,,,,1262,1263,,,,Shenae,,,Y,,,Y,,
180,21/03/2021,9:10,10:28,-68.76,Tas Fracture (Ref),180,Fished,-43.71483219,146.1930804,,,,,286,287,,,,Shenae,,,Y,,,Y,,
181,21/03/2021,8:38,9:55,-62.58,Tas Fracture (Ref),181,Fished,-43.70669947,146.2235204,might be labelled 1257-1258 on clapper??,,,,1258,1259,,,,Shenae,,,Y,,,Y,,
182,20/03/2021,17:11,18:20,-89.43,Tas Fracture (Ref),182,Fished,-43.7122499,146.2317905,406 Fail,,,,406,407,,,,Shenae,,,Y,,,N,,
183,21/03/2021,10:16,11:27,-86.47,Tas Fracture (Ref),183,Fished,-43.71757827,146.2074533,,,,,406,407,,,,Shenae,,,Y,,,Y,,
184,21/03/2021,10:15,11:20,-76.32,Tas Fracture (Ref),184,Fished,-43.71395748,146.213568,,,,,1262,1263,,,,Shenae,,,Y,,,Y,,
185,21/03/2021,8:27,9:42,-93.76,Tas Fracture (Ref),185,Fished,-43.70498524,146.2409823,,,,,406,407,,,,Shenae,,,Y,,,Y,,
186,21/03/2021,9:02,10:20,-68.16,Tas Fracture (Ref),186,Fished,-43.71267361,146.2044846,,,,,282,283,,,,ashlee b,,,Y,,,Y,,
187,21/03/2021,8:44,10:00,-59.6,Tas Fracture (Ref),187,Fished,-43.70726682,146.2171941,,,,,1260,1261,,,,Shenae,,,Y,,,Y,,
201,21/03/2021,14:47,15:52,-139.98,Tas Fracture (Ref),201,Fished,-43.72638333,146.21385,,,,,282,283,,,,ashlee b,,,Y,,,N,,
202,21/03/2021,10:51,11:54,-130.47,Tas Fracture (Ref),202,Fished,-43.7262198,146.1876783,286 failed,,,,286,287,,,,ashlee b,,,Y,,,N,,
203,20/03/2021,16:40,17:45,-124.89,Tas Fracture (Ref),203,Fished,-43.721635,146.2411244,,,,,286,287,,,,ashlee b,,,Y,,,Y,,
204,21/03/2021,12:33,13:42,-140.06,Tas Fracture (Ref),204,Fished,-43.72851162,146.1609274,,,,,1260,1261,,,,Shenae,,,Y,,,Y,,
205,20/03/2021,16:50,17:54,-100.23,Tas Fracture (Ref),205,Fished,-43.71498215,146.2345298,,,,,1260,1261,,,,Shenae,,,Y,,,Y,,
206,21/03/2021,14:57,15:56,-125.53,Tas Fracture (Ref),206,Fished,-43.72313407,146.21774,,,,,286,287,,,,ashlee b,,,Y,,,Y,,
207,21/03/2021,14:25,15:32,-130.65,Tas Fracture (Ref),207,Fished,-43.72448877,146.2026996,,,,,1262,1263,,,,Shenae,,,Y,,,Y,,
208,21/03/2021,14:37,15:43,-106.69,Tas Fracture (Ref),208,Fished,-43.72234425,146.2102516,,,,,1260,1261,,,,Shenae,,,Y,,,Y,,
209,21/03/2021,14:30,15:39,-128.13,Tas Fracture (Ref),209,Fished,-43.72561617,146.2068564,"1258 turned off, good lobsters",,,,1258,1259,,,,ashlee b,,,Y,,,N,,
210,21/03/2021,12:43,13:50,-135.49,Tas Fracture (Ref),210,Fished,-43.73217881,146.1600567,1259 failed,,,,1258,1259,,,,ashlee b,,,Y,,,N,,
211,21/03/2021,10:46,11:49,-108.45,Tas Fracture (Ref),211,Fished,-43.72333785,146.1952161,,,,,1260,1261,,,,ashlee b,,,Y,,,Y,,
212,21/03/2021,12:16,13:20,-139.09,Tas Fracture (Ref),212,Fished,-43.72806294,146.1885722,,,,,282,283,,,,ashlee b,,,Y,,,Y,,
213,21/03/2021,12:33,13:45,-135.29,Tas Fracture (Ref),213,Fished,-43.73035514,146.1618454,,,,,286,287,,,,ashlee b,,,Y,,,Y,,
214,21/03/2021,10:41,11:45,-118.77,Tas Fracture (Ref),214,Fished,-43.72264712,146.202004,,,,,1258,1259,,,,ashlee b,,,Y,,,Y,,
215,21/03/2021,12:24,13:31,-121.85,Tas Fracture (Ref),215,Fished,-43.72499031,146.1819341,,,,,406,407,,,,ashlee b,,,Y,,,Y,,
216,21/03/2021,10:58,12:07,-127.62,Tas Fracture (Ref),216,Fished,-43.72592512,146.1969445,,,,,282,283,,,,Shenae,,,Y,,,Y,,
217,21/03/2021,12:56,14:03,-141.63,Tas Fracture (Ref),217,No-take,-43.73251667,146.18615,,,,,1262,1263,,,,Shenae,,,Y,,,Y,,
218,20/03/2021,16:56,17:59,-101.59,Tas Fracture (Ref),218,Fished,-43.71459469,146.2304632,,,,,1258,1259,,,,ashlee b,,,Y,,,Y,,
219,21/03/2021,14:40,15:47,-119.3,Tas Fracture (Ref),219,Fished,-43.72382638,146.2136587,,,,,406,407,,,,Shenae,,,Y,,,Y,,
220,20/03/2021,17:01,18:05,-104.7,Tas Fracture (Ref),220,Fished,-43.71565364,146.2246152,,,,,1262,1263,,,,ashlee b,,,Y,,,Y,,
