System #,North top camera,North top card,North bottom camera,North bottom card,East top camera,East top card,East bottom camera,East bottom card,South top camera,South top card,South bottom camera,South bottom card,West top camera,West top card,West bottom camera,West bottom card,Downwards camera,Downwards card,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
Air BOSS - sound trap 4345,1201,223,1202,213,1205,211,1206,244,1207,113,1208,229,1209,249,1233,216,,,1,67e5bc1f-4cbe-4d2a-a3bb-63f85e4b85bb,6/17/2023 10:43:55 AM,Claude.Spencer_UWA,6/17/2023 11:18:09 PM,Claude.Spencer_UWA,115.065866743742,-33.357319484268
Baby BOSS - sound trap 5273,001,205,002,215,003,248,004,220,005,203,006,201,009,226,008,221,,,2,ab34aad3-a439-4125-a00d-4d6eef7568cf,6/17/2023 10:51:16 AM,Claude.Spencer_UWA,6/17/2023 11:17:15 PM,Claude.Spencer_UWA,115.065866743742,-33.4093095149048
Big BOSS - soundtrap 1872,035,228,036,214,037,225,038,245,039,239,040,202,041,237,042,218,,,3,8cd1798d-bc7a-479d-b1c8-34293edd1336,6/17/2023 10:58:36 AM,Claude.Spencer_UWA,6/17/2023 11:16:40 PM,Claude.Spencer_UWA,115.097842010379,-33.4824366352723
