System #,North top camera,North top card,North bottom camera,North bottom card,East top camera,East top card,East bottom camera,East bottom card,South top camera,South top card,South bottom camera,South bottom card,West top camera,West top card,West bottom camera,West bottom card,Downwards camera,Downwards card,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
Shark tip BOSS - UWA soundtrap ,019,241,020,208,021,207,022,247,023,230,024,231,025,240,026,219,014,235,1,0c454ca1-d6bc-4dd0-98f7-a8c5f7dbe2cc,6/17/2023 11:05:43 AM,Claude.Spencer_UWA,6/17/2023 11:16:11 PM,Claude.Spencer_UWA,115.170477065052,-33.5878223143827
Shark tip boss,019,147,020,149,021,130,022,162,023,124,024,150,025,115,026,156,014,160,2,4a423ad5-046f-4518-b9ee-651a0020d19d,6/18/2023 10:59:26 PM,Claude.Spencer_UWA,6/18/2023 10:59:26 PM,Claude.Spencer_UWA,114.920173268283,-33.2574605824222
