System #,Sample,Depth (m),Notes,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
Big boss,ST10,22.2,All depths in fathoms. Showed wrong number should be ST10,1,34da5cd5-65b5-4fb3-845b-a57a03a44620,6/18/2023 12:46:06 AM,Claude.Spencer_UWA,6/18/2023 1:10:43 AM,Claude.Spencer_UWA,115.005766666457,-33.2210916664367
Air boss,St09,12.9,South light flooded when retrieved. Lots of baby crabs on line when retrieved,2,ca852df2-592c-478b-a72d-2e12e8e1ad86,6/18/2023 12:52:09 AM,Claude.Spencer_UWA,6/18/2023 3:56:25 AM,Claude.Spencer_UWA,115.013666666661,-33.2234550002996
