CATAMI_L2_L3,CATAMI_L4,CATAMI_L5,Broad
Macroalgae > Filamentous / filiform,Mat algae,,Macroalgae
Macroalgae > Filamentous / filiform,Red,,Macroalgae
Macroalgae > Filamentous / filiform,Turfing Algae,Green turf,Macroalgae
Macroalgae > Filamentous / filiform,Turfing Algae,Red turf,Macroalgae
Macroalgae > Filamentous / filiform,Turfing Algae,,Macroalgae
Macroalgae > Filamentous / filiform,,,Macroalgae
Macroalgae > Globose / saccate,Brown,,Macroalgae
Macroalgae > Globose / saccate,Green,,Macroalgae
Macroalgae > Globose / saccate,Red,,Macroalgae
Macroalgae > Globose / saccate,,,Macroalgae
Macroalgae > Laminate,Brown,,Macroalgae
Macroalgae > Laminate,Green,,Macroalgae
Macroalgae > Laminate,Red,,Macroalgae
Macroalgae > Laminate,,,Macroalgae
Macroalgae > Large canopy-forming,Brown,Unidentifiable,Macroalgae
Macroalgae > Large canopy-forming,Brown,Carpoglossum confluens,Macroalgae
Macroalgae > Large canopy-forming,Brown,Durvillaea potatorum,Macroalgae
Macroalgae > Large canopy-forming,Brown,Ecklonia radiata,Macroalgae
Macroalgae > Large canopy-forming,Brown,Lessonia corrugata,Macroalgae
Macroalgae > Large canopy-forming,Brown,Phyllospora comosa,Macroalgae
Macroalgae > Large canopy-forming,Brown,Scytothalia dorycarpa,Macroalgae
Macroalgae > Large canopy-forming,,Unidentifiable,Macroalgae
Macroalgae > Sheet-like / membraneous,Brown,,Macroalgae
Macroalgae > Sheet-like / membraneous,Green,,Macroalgae
Macroalgae > Sheet-like / membraneous,Red,Foliose,Macroalgae
Macroalgae > Sheet-like / membraneous,Red,,Macroalgae
Macroalgae > Sheet-like / membraneous,,,Macroalgae
Macroalgae ,,,Macroalgae
Matrix > Bryozoa / Cnidaria / Creeping Sponge Matrix,,,Invertebrate complex
Matrix > Bryozoa / Cnidaria / Encrusting Sponge Matrix,,,Invertebrate complex
Matrix > Bryozoa / Cnidaria / Sponge Matrix,,,Invertebrate complex
Matrix > Bryozoa / Cnidaria Matrix,,,Invertebrate complex
Matrix > Encrusting/Turfing Algal Matrix,,,Invertebrate complex
Matrix > Mixed Sessile Invertebrate,,,Invertebrate complex
Matrix > Turf/Sediment/Silt matrix,,,Macroalgae
Matrix,,,
Seagrasses > Elliptical leaves,Halophila spp,,Seagrasses
Seagrasses > Elliptical leaves,Unidentifiable,,Seagrasses
Seagrasses > Strap-like leaves,Amphibolis sp. (Caab 63600903) ,,Seagrasses
Seagrasses > Strap-like leaves,Thalassodendron sp. (CAAB 63618905)  ,,Seagrasses
Seagrasses > Strap-like leaves,Posidonia sp. (Caab 63600903) ,,Seagrasses
Seagrasses > Strap-like leaves,Zostera sp. (Caab 63600903),,Seagrasses
Seagrasses > Strap-like leaves,Rupia sp. (Caab 63600903),,Seagrasses
Seagrasses > Strap-like leaves,Unidentifiable,,Seagrasses
Seagrasses > ,,,Seagrasses
Sponges > Crusts,Creeping / ramose,,Sponges
Sponges > Crusts,Encrusting,,Sponges
Sponges > Crusts,Endolithic / bioeroding,,Sponges
Sponges > Crusts,,,Sponges
Sponges > Cup-likes,Barrels,,Sponges
Sponges > Cup-likes,Cups,Cup / goblet,Sponges
Sponges > Cup-likes,Cups,Incomplete cup / curled fan,Sponges
Sponges > Cup-likes,Cups,Tables / discs,Sponges
Sponges > Cup-likes,Cups,,Sponges
Sponges > Cup-likes,Tubes and chimneys,,Sponges
Sponges > Cup-likes,,,Sponges
Sponges > Cup-likes,Cup / goblet,,Sponges
Sponges > Erect forms,Branching,,Sponges
Sponges > Erect forms,Laminar,,Sponges
Sponges > Erect forms,Palmate,,Sponges
Sponges > Erect forms,Simple,,Sponges
Sponges > Erect forms,Stalked,,Sponges
Sponges > Erect forms,,,Sponges
Sponges > Massive forms,Balls,,Sponges
Sponges > Massive forms,Cryptic,,Sponges
Sponges > Massive forms,Simple,,Sponges
Sponges > Massive forms,,,Sponges
Sponges,,,Sponges
Substrate > Consolidated (hard),Boulders,,Consolidated
Substrate > Consolidated (hard),Cobbles,,Consolidated
Substrate > Consolidated (hard),Rock,,Consolidated
Substrate > Consolidated (hard),,,Consolidated
Substrate > Unconsolidated (soft),Pebble / gravel,Biologenic,Unconsolidated
Substrate > Unconsolidated (soft),Pebble / gravel,Gravel (2-10mm),Unconsolidated
Substrate > Unconsolidated (soft),Pebble / gravel,Pebble (10-64mm),Unconsolidated
Substrate > Unconsolidated (soft),Pebble / gravel,,Unconsolidated
Substrate > Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),Unconsolidated
Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),Unconsolidated
Substrate > Unconsolidated (soft),Sand / mud (<2mm),Mud / silt (<64um),Unconsolidated
Substrate > Unconsolidated (soft),Sand / mud (<2mm),,Unconsolidated
Substrate > Unconsolidated (soft),Fine sand (no shell fragments),,Unconsolidated
Substrate > Unconsolidated (soft),,,Unconsolidated
Substrate > Unconsolidated (soft),Biologenic,,Unconsolidated
Substrate > Unconsolidated (soft),Biologenic,Coquina / shellhash,Unconsolidated
Substrate > Unconsolidated (soft),Coarse sand (with shell fragments),,Unconsolidated
Substrate,,,Unconsolidated
Worms > Polychaetes,Tube worms,,Unconsolidated
Worms > Polychaetes,,,Unconsolidated
Worms,,,Unconsolidated
Anthropogenic Debris,,,Unknown
Biota,,,Unknown
Unscorable,,,Unknown
