System #,North top camera,North top card,North bottom camera,North bottom card,East top camera,East top card,East bottom camera,East bottom card,South top camera,South top card,South bottom camera,South bottom card,West top camera,West top card,West bottom camera,West bottom card,Downwards camera,Downwards card,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,001,226,002,219,003,241,004,211,005,223,006,213,009,244,008,248,NA,NA,1,4c7f80c8-1f47-4f08-a5ee-3b488b08c3b8,3/7/2023 7:52:25 AM,Claude.Spencer_UWA,3/7/2023 7:52:25 AM,Claude.Spencer_UWA,115.167443333065,-34.3538383334786
1,001,207,002,233,003,220,004,218,005,208,006,216,009,225,008,209,NA,NA,2,1a6c2428-2cd1-4961-a858-65d92c5e953b,3/9/2023 9:05:54 AM,Claude.Spencer_UWA,3/9/2023 9:05:54 AM,Claude.Spencer_UWA,115.167311666994,-34.3539549999777
1,001,249,002,231,003,201,004,250,005,248,006,211,009,245,008,241,NA,NA,3,56e8d04c-b8b2-43f8-ad3d-5d80ce75d2cf,3/10/2023 9:28:54 AM,Claude.Spencer_UWA,3/10/2023 9:28:54 AM,Claude.Spencer_UWA,115.167408332905,-34.3538566663408
1,001,201,002,231,003,211,004,245,005,248,006,250,009,241,008,249,NA,NA,4,12357bd2-b22c-4c32-8a52-6a6d1c5f7479,3/11/2023 10:30:46 AM,Claude.Spencer_UWA,3/11/2023 10:30:46 AM,Claude.Spencer_UWA,115.025445000272,-34.2191249998456
